"ID"	"Expanded Description"	
"11007"	"Argentina - Other - ATM equipment maintenance organisation"	
"9007"	"Argentina - Other - Air Navigation Service Provider"	
"12007"	"Argentina - Other - Apron Management Service Provider"	
"8007"	"Argentina - Other - Maintenance organisation"	
"6007"	"Argentina - Other - Aircraft operator"	
"8"	"Armenia"	
"1008"	"Armenia - AIB"	
"2008"	"Armenia - CAA"	
"5008"	"Armenia - Other"	
"100141"	"Armenia - Other - Production organisation"	
"100349"	"Armenia - Other - Flight Crew Training organisation"	
"100557"	"Armenia - Other - Flight Information Service Provider"	
"100765"	"Armenia - Other - Continuous airworthiness monitoring organisation"	
"100973"	"Armenia - Other - Ground handling organisation"	
"101181"	"Armenia - Other - Individuals"	
"7008"	"Armenia - Other - Design organisation"	
"10008"	"Armenia - Other - Aerodrome operator"	
"11008"	"Armenia - Other - ATM equipment maintenance organisation"	
"9008"	"Armenia - Other - Air Navigation Service Provider"	
"12008"	"Armenia - Other - Apron Management Service Provider"	
"8008"	"Armenia - Other - Maintenance organisation"	
"6008"	"Armenia - Other - Aircraft operator"	
"9"	"Aruba"	
"1009"	"Aruba - AIB"	
"2009"	"Aruba - CAA"	
"5009"	"Aruba - Other"	
"100142"	"Aruba - Other - Production organisation"	
"100350"	"Aruba - Other - Flight Crew Training organisation"	
"100558"	"Aruba - Other - Flight Information Service Provider"	
"100766"	"Aruba - Other - Continuous airworthiness monitoring organisation"	
"100974"	"Aruba - Other - Ground handling organisation"	
"101182"	"Aruba - Other - Individuals"	
"7009"	"Aruba - Other - Design organisation"	
"10009"	"Aruba - Other - Aerodrome operator"	
"11009"	"Aruba - Other - ATM equipment maintenance organisation"	
"9009"	"Aruba - Other - Air Navigation Service Provider"	
"12009"	"Aruba - Other - Apron Management Service Provider"	
"8009"	"Aruba - Other - Maintenance organisation"	
"6009"	"Aruba - Other - Aircraft operator"	
"10"	"Australia"	
"1010"	"Australia - ATSB"	
"2010"	"Australia - CAA"	
"5010"	"Australia - Other"	
"100143"	"Australia - Other - Production organisation"	
"100351"	"Australia - Other - Flight Crew Training organisation"	
"100559"	"Australia - Other - Flight Information Service Provider"	
"100767"	"Australia - Other - Continuous airworthiness monitoring organisation"	
"100975"	"Australia - Other - Ground handling organisation"	
"101183"	"Australia - Other - Individuals"	
"7010"	"Australia - Other - Design organisation"	
"10010"	"Australia - Other - Aerodrome operator"	
"11010"	"Australia - Other - ATM equipment maintenance organisation"	
"9010"	"Australia - Other - Air Navigation Service Provider"	
"12010"	"Australia - Other - Apron Management Service Provider"	
"8010"	"Australia - Other - Maintenance organisation"	
"6010"	"Australia - Other - Aircraft operator"	
"11"	"Austria"	
"1011"	"Austria - AAIB"	
"2011"	"Austria - CAA"	
"5011"	"Austria - Other"	
"100144"	"Austria - Other - Production organisation"	
"100352"	"Austria - Other - Flight Crew Training organisation"	
"100560"	"Austria - Other - Flight Information Service Provider"	
"100768"	"Austria - Other - Continuous airworthiness monitoring organisation"	
"100976"	"Austria - Other - Ground handling organisation"	
"101184"	"Austria - Other - Individuals"	
"7011"	"Austria - Other - Design organisation"	
"10011"	"Austria - Other - Aerodrome operator"	
"11011"	"Austria - Other - ATM equipment maintenance organisation"	
"9011"	"Austria - Other - Air Navigation Service Provider"	
"12011"	"Austria - Other - Apron Management Service Provider"	
"8011"	"Austria - Other - Maintenance organisation"	
"6011"	"Austria - Other - Aircraft operator"	
"12"	"Azerbaijan"	
"1012"	"Azerbaijan - AIB"	
"2012"	"Azerbaijan - CAA"	
"5012"	"Azerbaijan - Other"	
"100145"	"Azerbaijan - Other - Production organisation"	
"100353"	"Azerbaijan - Other - Flight Crew Training organisation"	
"100561"	"Azerbaijan - Other - Flight Information Service Provider"	
"100769"	"Azerbaijan - Other - Continuous airworthiness monitoring organisation"	
"100977"	"Azerbaijan - Other - Ground handling organisation"	
"101185"	"Azerbaijan - Other - Individuals"	
"7012"	"Azerbaijan - Other - Design organisation"	
"10012"	"Azerbaijan - Other - Aerodrome operator"	
"11012"	"Azerbaijan - Other - ATM equipment maintenance organisation"	
"9012"	"Azerbaijan - Other - Air Navigation Service Provider"	
"12012"	"Azerbaijan - Other - Apron Management Service Provider"	
"8012"	"Azerbaijan - Other - Maintenance organisation"	
"6012"	"Azerbaijan - Other - Aircraft operator"	
"13"	"Bahamas"	
"1013"	"Bahamas - AIB"	
"2013"	"Bahamas - CAA"	
"5013"	"Bahamas - Other"	
"100146"	"Bahamas - Other - Production organisation"	
"100354"	"Bahamas - Other - Flight Crew Training organisation"	
"100562"	"Bahamas - Other - Flight Information Service Provider"	
"100770"	"Bahamas - Other - Continuous airworthiness monitoring organisation"	
"100978"	"Bahamas - Other - Ground handling organisation"	
"101186"	"Bahamas - Other - Individuals"	
"7013"	"Bahamas - Other - Design organisation"	
"10013"	"Bahamas - Other - Aerodrome operator"	
"11013"	"Bahamas - Other - ATM equipment maintenance organisation"	
"9013"	"Bahamas - Other - Air Navigation Service Provider"	
"12013"	"Bahamas - Other - Apron Management Service Provider"	
"8013"	"Bahamas - Other - Maintenance organisation"	
"6013"	"Bahamas - Other - Aircraft operator"	
"14"	"Bahrain"	
"1014"	"Bahrain - AIB"	
"2014"	"Bahrain - CAA"	
"5014"	"Bahrain - Other"	
"100147"	"Bahrain - Other - Production organisation"	
"100355"	"Bahrain - Other - Flight Crew Training organisation"	
"100563"	"Bahrain - Other - Flight Information Service Provider"	
"100771"	"Bahrain - Other - Continuous airworthiness monitoring organisation"	
"100979"	"Bahrain - Other - Ground handling organisation"	
"101187"	"Bahrain - Other - Individuals"	
"7014"	"Bahrain - Other - Design organisation"	
"10014"	"Bahrain - Other - Aerodrome operator"	
"11014"	"Bahrain - Other - ATM equipment maintenance organisation"	
"9014"	"Bahrain - Other - Air Navigation Service Provider"	
"12014"	"Bahrain - Other - Apron Management Service Provider"	
"8014"	"Bahrain - Other - Maintenance organisation"	
"6014"	"Bahrain - Other - Aircraft operator"	
"15"	"Bangladesh"	
"1015"	"Bangladesh - AIB"	
"2015"	"Bangladesh - CAA"	
"5015"	"Bangladesh - Other"	
"100148"	"Bangladesh - Other - Production organisation"	
"100356"	"Bangladesh - Other - Flight Crew Training organisation"	
"100564"	"Bangladesh - Other - Flight Information Service Provider"	
"100772"	"Bangladesh - Other - Continuous airworthiness monitoring organisation"	
"100980"	"Bangladesh - Other - Ground handling organisation"	
"101188"	"Bangladesh - Other - Individuals"	
"7015"	"Bangladesh - Other - Design organisation"	
"10015"	"Bangladesh - Other - Aerodrome operator"	
"11015"	"Bangladesh - Other - ATM equipment maintenance organisation"	
"9015"	"Bangladesh - Other - Air Navigation Service Provider"	
"12015"	"Bangladesh - Other - Apron Management Service Provider"	
"8015"	"Bangladesh - Other - Maintenance organisation"	
"6015"	"Bangladesh - Other - Aircraft operator"	
"16"	"Barbados"	
"1016"	"Barbados - AIB"	
"2016"	"Barbados - CAA"	
"5016"	"Barbados - Other"	
"100149"	"Barbados - Other - Production organisation"	
"100357"	"Barbados - Other - Flight Crew Training organisation"	
"100565"	"Barbados - Other - Flight Information Service Provider"	
"100773"	"Barbados - Other - Continuous airworthiness monitoring organisation"	
"100981"	"Barbados - Other - Ground handling organisation"	
"101189"	"Barbados - Other - Individuals"	
"7016"	"Barbados - Other - Design organisation"	
"10016"	"Barbados - Other - Aerodrome operator"	
"11016"	"Barbados - Other - ATM equipment maintenance organisation"	
"9016"	"Barbados - Other - Air Navigation Service Provider"	
"12016"	"Barbados - Other - Apron Management Service Provider"	
"8016"	"Barbados - Other - Maintenance organisation"	
"6016"	"Barbados - Other - Aircraft operator"	
"17"	"Belarus"	
"1017"	"Belarus - AIB"	
"2017"	"Belarus - CAA"	
"5017"	"Belarus - Other"	
"100150"	"Belarus - Other - Production organisation"	
"100358"	"Belarus - Other - Flight Crew Training organisation"	
"100566"	"Belarus - Other - Flight Information Service Provider"	
"100774"	"Belarus - Other - Continuous airworthiness monitoring organisation"	
"100982"	"Belarus - Other - Ground handling organisation"	
"101190"	"Belarus - Other - Individuals"	
"7017"	"Belarus - Other - Design organisation"	
"10017"	"Belarus - Other - Aerodrome operator"	
"11017"	"Belarus - Other - ATM equipment maintenance organisation"	
"9017"	"Belarus - Other - Air Navigation Service Provider"	
"12017"	"Belarus - Other - Apron Management Service Provider"	
"8017"	"Belarus - Other - Maintenance organisation"	
"6017"	"Belarus - Other - Aircraft operator"	
"18"	"Belgium"	
"1018"	"Belgium - AIB"	
"2018"	"Belgium - CAA"	
"5018"	"Belgium - Other"	
"100151"	"Belgium - Other - Production organisation"	
"100359"	"Belgium - Other - Flight Crew Training organisation"	
"100567"	"Belgium - Other - Flight Information Service Provider"	
"100775"	"Belgium - Other - Continuous airworthiness monitoring organisation"	
"100983"	"Belgium - Other - Ground handling organisation"	
"101191"	"Belgium - Other - Individuals"	
"7018"	"Belgium - Other - Design organisation"	
"10018"	"Belgium - Other - Aerodrome operator"	
"11018"	"Belgium - Other - ATM equipment maintenance organisation"	
"9018"	"Belgium - Other - Air Navigation Service Provider"	
"12018"	"Belgium - Other - Apron Management Service Provider"	
"8018"	"Belgium - Other - Maintenance organisation"	
"6018"	"Belgium - Other - Aircraft operator"	
"19"	"Belize"	
"1019"	"Belize - AIB"	
"2019"	"Belize - CAA"	
"5019"	"Belize - Other"	
"100152"	"Belize - Other - Production organisation"	
"100360"	"Belize - Other - Flight Crew Training organisation"	
"100568"	"Belize - Other - Flight Information Service Provider"	
"100776"	"Belize - Other - Continuous airworthiness monitoring organisation"	
"100984"	"Belize - Other - Ground handling organisation"	
"101192"	"Belize - Other - Individuals"	
"7019"	"Belize - Other - Design organisation"	
"10019"	"Belize - Other - Aerodrome operator"	
"11019"	"Belize - Other - ATM equipment maintenance organisation"	
"9019"	"Belize - Other - Air Navigation Service Provider"	
"12019"	"Belize - Other - Apron Management Service Provider"	
"8019"	"Belize - Other - Maintenance organisation"	
"6019"	"Belize - Other - Aircraft operator"	
"20"	"Benin"	
"1020"	"Benin - AIB"	
"2020"	"Benin - CAA"	
"5020"	"Benin - Other"	
"100153"	"Benin - Other - Production organisation"	
"100361"	"Benin - Other - Flight Crew Training organisation"	
"100569"	"Benin - Other - Flight Information Service Provider"	
"100777"	"Benin - Other - Continuous airworthiness monitoring organisation"	
"100985"	"Benin - Other - Ground handling organisation"	
"101193"	"Benin - Other - Individuals"	
"7020"	"Benin - Other - Design organisation"	
"10020"	"Benin - Other - Aerodrome operator"	
"11020"	"Benin - Other - ATM equipment maintenance organisation"	
"9020"	"Benin - Other - Air Navigation Service Provider"	
"12020"	"Benin - Other - Apron Management Service Provider"	
"8020"	"Benin - Other - Maintenance organisation"	
"6020"	"Benin - Other - Aircraft operator"	
"100023"	"Bermuda"	
"100042"	"Bermuda - AIB"	
"100043"	"Bermuda - BDCA"	
"100044"	"Bermuda - Other"	
"100154"	"Bermuda - Other - Production organisation"	
"100362"	"Bermuda - Other - Flight Crew Training organisation"	
"100570"	"Bermuda - Other - Flight Information Service Provider"	
"100778"	"Bermuda - Other - Continuous airworthiness monitoring organisation"	
"100986"	"Bermuda - Other - Ground handling organisation"	
"101194"	"Bermuda - Other - Individuals"	
"100045"	"Bermuda - Other - Design organisation"	
"100046"	"Bermuda - Other - Aerodrome operator"	
"100047"	"Bermuda - Other - ATM equipment maintenance organisation"	
"100048"	"Bermuda - Other - Air Navigation Service Provider"	
"100049"	"Bermuda - Other - Apron Management Service Provider"	
"100050"	"Bermuda - Other - Maintenance organisation"	
"100051"	"Bermuda - Other - Aircraft operator"	
"21"	"Bhutan"	
"1021"	"Bhutan - AIB"	
"2021"	"Bhutan - CAA"	
"5021"	"Bhutan - Other"	
"100155"	"Bhutan - Other - Production organisation"	
"100363"	"Bhutan - Other - Flight Crew Training organisation"	
"100571"	"Bhutan - Other - Flight Information Service Provider"	
"100779"	"Bhutan - Other - Continuous airworthiness monitoring organisation"	
"100987"	"Bhutan - Other - Ground handling organisation"	
"101195"	"Bhutan - Other - Individuals"	
"7021"	"Bhutan - Other - Design organisation"	
"10021"	"Bhutan - Other - Aerodrome operator"	
"11021"	"Bhutan - Other - ATM equipment maintenance organisation"	
"9021"	"Bhutan - Other - Air Navigation Service Provider"	
"12021"	"Bhutan - Other - Apron Management Service Provider"	
"8021"	"Bhutan - Other - Maintenance organisation"	
"6021"	"Bhutan - Other - Aircraft operator"	
"22"	"Bolivia"	
"1022"	"Bolivia - AIB"	
"2022"	"Bolivia - CAA"	
"5022"	"Bolivia - Other"	
"100156"	"Bolivia - Other - Production organisation"	
"100364"	"Bolivia - Other - Flight Crew Training organisation"	
"100572"	"Bolivia - Other - Flight Information Service Provider"	
"100780"	"Bolivia - Other - Continuous airworthiness monitoring organisation"	
"100988"	"Bolivia - Other - Ground handling organisation"	
"101196"	"Bolivia - Other - Individuals"	
"7022"	"Bolivia - Other - Design organisation"	
"10022"	"Bolivia - Other - Aerodrome operator"	
"11022"	"Bolivia - Other - ATM equipment maintenance organisation"	
"9022"	"Bolivia - Other - Air Navigation Service Provider"	
"12022"	"Bolivia - Other - Apron Management Service Provider"	
"8022"	"Bolivia - Other - Maintenance organisation"	
"6022"	"Bolivia - Other - Aircraft operator"	
"23"	"Bosnia and Herzegovina"	
"1023"	"Bosnia and Herzegovina - AIB"	
"2023"	"Bosnia and Herzegovina - CAA"	
"5023"	"Bosnia and Herzegovina - Other"	
"100157"	"Bosnia and Herzegovina - Other - Production organisation"	
"100365"	"Bosnia and Herzegovina - Other - Flight Crew Training organisation"	
"100573"	"Bosnia and Herzegovina - Other - Flight Information Service Provider"	
"100781"	"Bosnia and Herzegovina - Other - Continuous airworthiness monitoring organisation"	
"100989"	"Bosnia and Herzegovina - Other - Ground handling organisation"	
"101197"	"Bosnia and Herzegovina - Other - Individuals"	
"7023"	"Bosnia and Herzegovina - Other - Design organisation"	
"10023"	"Bosnia and Herzegovina - Other - Aerodrome operator"	
"11023"	"Bosnia and Herzegovina - Other - ATM equipment maintenance organisation"	
"9023"	"Bosnia and Herzegovina - Other - Air Navigation Service Provider"	
"12023"	"Bosnia and Herzegovina - Other - Apron Management Service Provider"	
"8023"	"Bosnia and Herzegovina - Other - Maintenance organisation"	
"6023"	"Bosnia and Herzegovina - Other - Aircraft operator"	
"24"	"Botswana"	
"1024"	"Botswana - AIB"	
"2024"	"Botswana - CAA"	
"5024"	"Botswana - Other"	
"100158"	"Botswana - Other - Production organisation"	
"100366"	"Botswana - Other - Flight Crew Training organisation"	
"100574"	"Botswana - Other - Flight Information Service Provider"	
"100782"	"Botswana - Other - Continuous airworthiness monitoring organisation"	
"100990"	"Botswana - Other - Ground handling organisation"	
"101198"	"Botswana - Other - Individuals"	
"7024"	"Botswana - Other - Design organisation"	
"10024"	"Botswana - Other - Aerodrome operator"	
"11024"	"Botswana - Other - ATM equipment maintenance organisation"	
"9024"	"Botswana - Other - Air Navigation Service Provider"	
"12024"	"Botswana - Other - Apron Management Service Provider"	
"8024"	"Botswana - Other - Maintenance organisation"	
"6024"	"Botswana - Other - Aircraft operator"	
"25"	"Brazil"	
"2025"	"Brazil - CAA"	
"1025"	"Brazil - CENIPA"	
"5025"	"Brazil - Other"	
"100159"	"Brazil - Other - Production organisation"	
"100367"	"Brazil - Other - Flight Crew Training organisation"	
"100575"	"Brazil - Other - Flight Information Service Provider"	
"100783"	"Brazil - Other - Continuous airworthiness monitoring organisation"	
"100991"	"Brazil - Other - Ground handling organisation"	
"101199"	"Brazil - Other - Individuals"	
"7025"	"Brazil - Other - Design organisation"	
"10025"	"Brazil - Other - Aerodrome operator"	
"11025"	"Brazil - Other - ATM equipment maintenance organisation"	
"9025"	"Brazil - Other - Air Navigation Service Provider"	
"12025"	"Brazil - Other - Apron Management Service Provider"	
"8025"	"Brazil - Other - Maintenance organisation"	
"6025"	"Brazil - Other - Aircraft operator"	
"26"	"Brunei Darussalam"	
"1026"	"Brunei Darussalam - AIB"	
"2026"	"Brunei Darussalam - CAA"	
"5026"	"Brunei Darussalam - Other"	
"100160"	"Brunei Darussalam - Other - Production organisation"	
"100368"	"Brunei Darussalam - Other - Flight Crew Training organisation"	
"100576"	"Brunei Darussalam - Other - Flight Information Service Provider"	
"100784"	"Brunei Darussalam - Other - Continuous airworthiness monitoring organisation"	
"100992"	"Brunei Darussalam - Other - Ground handling organisation"	
"101200"	"Brunei Darussalam - Other - Individuals"	
"7026"	"Brunei Darussalam - Other - Design organisation"	
"10026"	"Brunei Darussalam - Other - Aerodrome operator"	
"11026"	"Brunei Darussalam - Other - ATM equipment maintenance organisation"	
"9026"	"Brunei Darussalam - Other - Air Navigation Service Provider"	
"12026"	"Brunei Darussalam - Other - Apron Management Service Provider"	
"8026"	"Brunei Darussalam - Other - Maintenance organisation"	
"6026"	"Brunei Darussalam - Other - Aircraft operator"	
"27"	"Bulgaria"	
"1027"	"Bulgaria - AAIU"	
"2027"	"Bulgaria - CAA"	
"5027"	"Bulgaria - Other"	
"100161"	"Bulgaria - Other - Production organisation"	
"100369"	"Bulgaria - Other - Flight Crew Training organisation"	
"100577"	"Bulgaria - Other - Flight Information Service Provider"	
"100785"	"Bulgaria - Other - Continuous airworthiness monitoring organisation"	
"100993"	"Bulgaria - Other - Ground handling organisation"	
"101201"	"Bulgaria - Other - Individuals"	
"7027"	"Bulgaria - Other - Design organisation"	
"10027"	"Bulgaria - Other - Aerodrome operator"	
"11027"	"Bulgaria - Other - ATM equipment maintenance organisation"	
"9027"	"Bulgaria - Other - Air Navigation Service Provider"	
"12027"	"Bulgaria - Other - Apron Management Service Provider"	
"8027"	"Bulgaria - Other - Maintenance organisation"	
"6027"	"Bulgaria - Other - Aircraft operator"	
"28"	"Burkina Faso"	
"1028"	"Burkina Faso - AIB"	
"2028"	"Burkina Faso - CAA"	
"5028"	"Burkina Faso - Other"	
"100162"	"Burkina Faso - Other - Production organisation"	
"100370"	"Burkina Faso - Other - Flight Crew Training organisation"	
"100578"	"Burkina Faso - Other - Flight Information Service Provider"	
"100786"	"Burkina Faso - Other - Continuous airworthiness monitoring organisation"	
"100994"	"Burkina Faso - Other - Ground handling organisation"	
"101202"	"Burkina Faso - Other - Individuals"	
"7028"	"Burkina Faso - Other - Design organisation"	
"10028"	"Burkina Faso - Other - Aerodrome operator"	
"11028"	"Burkina Faso - Other - ATM equipment maintenance organisation"	
"9028"	"Burkina Faso - Other - Air Navigation Service Provider"	
"12028"	"Burkina Faso - Other - Apron Management Service Provider"	
"8028"	"Burkina Faso - Other - Maintenance organisation"	
"6028"	"Burkina Faso - Other - Aircraft operator"	
"29"	"Burundi"	
"1029"	"Burundi - AIB"	
"2029"	"Burundi - CAA"	
"5029"	"Burundi - Other"	
"100163"	"Burundi - Other - Production organisation"	
"100371"	"Burundi - Other - Flight Crew Training organisation"	
"100579"	"Burundi - Other - Flight Information Service Provider"	
"100787"	"Burundi - Other - Continuous airworthiness monitoring organisation"	
"100995"	"Burundi - Other - Ground handling organisation"	
"101203"	"Burundi - Other - Individuals"	
"7029"	"Burundi - Other - Design organisation"	
"10029"	"Burundi - Other - Aerodrome operator"	
"11029"	"Burundi - Other - ATM equipment maintenance organisation"	
"9029"	"Burundi - Other - Air Navigation Service Provider"	
"12029"	"Burundi - Other - Apron Management Service Provider"	
"8029"	"Burundi - Other - Maintenance organisation"	
"6029"	"Burundi - Other - Aircraft operator"	
"30"	"Cambodia"	
"1030"	"Cambodia - AIB"	
"2030"	"Cambodia - CAA"	
"5030"	"Cambodia - Other"	
"100164"	"Cambodia - Other - Production organisation"	
"100372"	"Cambodia - Other - Flight Crew Training organisation"	
"100580"	"Cambodia - Other - Flight Information Service Provider"	
"100788"	"Cambodia - Other - Continuous airworthiness monitoring organisation"	
"100996"	"Cambodia - Other - Ground handling organisation"	
"101204"	"Cambodia - Other - Individuals"	
"7030"	"Cambodia - Other - Design organisation"	
"10030"	"Cambodia - Other - Aerodrome operator"	
"11030"	"Cambodia - Other - ATM equipment maintenance organisation"	
"9030"	"Cambodia - Other - Air Navigation Service Provider"	
"12030"	"Cambodia - Other - Apron Management Service Provider"	
"8030"	"Cambodia - Other - Maintenance organisation"	
"6030"	"Cambodia - Other - Aircraft operator"	
"31"	"Cameroon"	
"1031"	"Cameroon - AIB"	
"2031"	"Cameroon - CAA"	
"5031"	"Cameroon - Other"	
"100165"	"Cameroon - Other - Production organisation"	
"100373"	"Cameroon - Other - Flight Crew Training organisation"	
"100581"	"Cameroon - Other - Flight Information Service Provider"	
"100789"	"Cameroon - Other - Continuous airworthiness monitoring organisation"	
"100997"	"Cameroon - Other - Ground handling organisation"	
"101205"	"Cameroon - Other - Individuals"	
"7031"	"Cameroon - Other - Design organisation"	
"10031"	"Cameroon - Other - Aerodrome operator"	
"11031"	"Cameroon - Other - ATM equipment maintenance organisation"	
"9031"	"Cameroon - Other - Air Navigation Service Provider"	
"12031"	"Cameroon - Other - Apron Management Service Provider"	
"8031"	"Cameroon - Other - Maintenance organisation"	
"6031"	"Cameroon - Other - Aircraft operator"	
"32"	"Canada"	
"2032"	"Canada - CAA"	
"5032"	"Canada - Other"	
"100166"	"Canada - Other - Production organisation"	
"100374"	"Canada - Other - Flight Crew Training organisation"	
"100582"	"Canada - Other - Flight Information Service Provider"	
"100790"	"Canada - Other - Continuous airworthiness monitoring organisation"	
"100998"	"Canada - Other - Ground handling organisation"	
"101206"	"Canada - Other - Individuals"	
"7032"	"Canada - Other - Design organisation"	
